Nederlands;Tilburgs
 's avonds ; saoves
 's maandags ; smòndags
 's morgens ; smèèreges
 's winters ; swènters
 's woensdagsavond ; swoensdagsaoves
 's zomers ; somers
 's zondags ; sondags
1; êen
2; tweej
3; drie
4; vier
5; vèèf
6; zis
7; zeuve
8; aacht
11; èllef
12; twaalef
13; dartien
14; virtien
30; darteg
40; firteg
50; fèfteg
60; sisteg
66; zisensisteg
70; seuveteg
77; zeuvenenseuveteg
80; taageteg
88; aachtentaageteg
90; neegeteg
 A.B.N. (taal) ; hôoghòllaans
 aal ; pòlling, aol
 aambeeld ; ònbild
 aan ; òn, aon
 aan ; aon, òn
 aan / van beide zijden ; swirskaante
 aan de andere kant ; òn geene kaant
 aan de andere kant ; òn den âanderste kaant
 aan de andere kant ; aon d'n aandere kaant
 aan de andere kant ; òn de geense kaant
 Aan de diaree ; Aon den dunne
 aan de zoldering hangen ; opschôore
 aan de zwier ; op rak
 aan het einde ; aon-t-end
 aan iedere kant ; swirskaante
 aan je voeten ; òn oew voete
 aan komen stappen (parmantig) ; ònstiefele, aonstiefele
 aan lager wal geraakte molenaar ; hègmölder
 aan nemen ; vat aon
 aan weerszijden ; aon swirskaante
 aan- en aflopen, deur in deur uit gaan, kroeglopen; pesjonkele
 aanaarden, aarde aanbrengen ; ònèèrde
 aanbevelen, aanprijzen (Fr:recommander) ; ònrikkemedêere, ònrikkemendêere
 aanbeveling (Fr: recommander) ; rikkemedaosie
 aanbieden ; ònbieje
 aanbinden ; ònbèène
 aanbreien ; ònbraaje
 aandacht ; òndaacht
 aandeel, part ; òndêel (vkw òndiltje)
 aandeel, part ; gezaot, gezaoj, (vkw gezòtje)
 aandeeltje, partje ; òndiltje
 aandenken ; òndènke
 aandoen, aantrekken ; òndoen
 aanduwen ; òndaawe
 aangebrand ; òngebraand
 aangeschoten ; teut
 aangetrouwd ; v.d. kaawe kaant
 aangetrouwde zwager ; dè is er eene van de kaawe kaant
 aangetrouwde zwager of zwagerin ; de is ur eene van de kouwe kaant
 aangezet ; òngezèt
 aangezicht, bakkes, toet ; fruut, vruut
 aangezicht, bakkes, toet ; vruut, fruut
 aanhalen ; ònhaole
 aanhangwagen ; ònhanger, aonhanger
 aanharken ; opgriesele
 aanhouder ; ònhaawer, aonhaawer
 aankomen ; ònkoome
 aankomen slenteren ; afschèète
 aankomen, langs komen ; òngezèt koome
 aanlopen ; ònlôope
 aanmodderen ; ònpertije, ònpertèèje
 aanmodderen ; ònpartije
 aanmodderen, slordig werken ; flòdderiedòsse
 aannaaien ; ònnaoje
 aannemen ; ònneeme
 aannemer in de bouw ; ènterpreneur
 aanpakken ; ònvatte, aonvatte
 aanpassen ; ònpaase
 aanprijzen ; ònrikkemendeere
 aanraden ; ònraoje
 aanraden, adviseren ; raoje
 aanraken ; ònraoke
 aanranden ; ònraande
 aanrecht ; ònrèècht, òrecht
 aanrecht ; òrecht, ònrèècht
 aanrecht ; nòrrèècht
 aanrecht ; ' n-orrigt
 aanrecht of vloer van terrazzowerk ; zultnòrregt, zultvloer
 aanrommelen ; ònmèùkele
 aanrommelen ; mèùkele
 aanrommelen, maar wat doen, aantobben, aansukkelen ; ònklôote (tt klot aon)
 aanrommelen, maar wat doen, aantobben, aansukkelen ; ònklôoje
 aanrommelen, zanikken, vervelen ; klôoje
 aanscherpen van zeis met hamer ; haore
 aanslag ; ònslag, aonslag
 aanslepen (van boodschappen b.v.) ; ònhaole
 aanslepen, aanslijpen ; ònslèèpe, aonslèèpe
 aansluiten ; ònslööte, ònslèùte, aonslööte, aonslèùte
 aansmeren ; ònsmèère, aonsmèère
 aanspraak ; ònspraok, aonspraok
 aanspreken van een jongen ; mòtje (heej mòtje)
 aanspreken, aanbreken, beginnen te gebruiken ; ònslaon. aonslaon
 aanstaande, komende ; un
 aanstalten maken ; apprènsie maoke
 aanstalten maken, er werk van maken, ter sprake brengen, ophef maken (Lat: mentio) ; mènsie maoke
 aanstaren ; louwe
 aanstaren, gapen, kijken ; gaope, (tt gòpt, vt gòpte)
 aansteker ; vuurke
 aansteller ; gen eukstamper
 aanstellerig, fier, groots ; gruts
 aansterken, consolideren ; ònstèèreke, aonstèèreke
 aanstonds ; sebiet
 aanstonds ; sommedêene
 aanstonds ; sèffes
 aanstonds ; zommedêene
 aansuk kelen ; ònbezoelieje
 aantal ; optal
 aantekenen, in ondertrouw gaan ; òntêekene, aontêekene
 aantreden ; òntreeje, aontreeje
 aantrekken, aandoen ; ònschiete, aonschiete
 aantuigen, aankleden ; òntööge, òntèùge, aontööge, aontèùge
 aanvoelen ; ònvuule, aonvuule
 aanweven ; ònwèève, aonwèève
 aanwijzen ; ònwèèze, aonwèèze
 aanzegger, aanspreker ; ònzègger, aonzègger
 aanzetten, mee aankomen ; ònzètte, aonzètte
 aap ; aop
 aapje ; òpke
 aar, halm ; aor
 aard ; aord
 Aardappel ; Erpel
 aardappel (s) ; èèrpel
 aardappel (s) ; èèrepel
 aardappel (s), patat (ten) ; petat (te)
 aardappelen ; lustte gij tatjes
 aardappelen ; piepers
 aardappels poten met pootstok ; inkrukke
 aardappelschillen ; èèrepelschèlle
 aardbei ; èèrbeezem, (mv èèrbeezeme)
 aardbei (en) ; èèrbeezie, èrbeezie
 aardbeien ; soomerkôoninkskes
 aardbeien ; aarbeikes (modern tilburgs)
 aarde ; èèrde
 aarden ; aore
 aarden knikker ; kaajscheut
 aardewerk, serviesgoed ; breekwèèrek
 aardige man, goedzak ; goeje klôot
 aardigheid, aangename verrassing ; aoreghèt, aoreghèj (mv aoregheeje)
 Aarle (België) ; Aol
 aarzelen ; sèmmele
 aas ; aos
 aasje ; òske
 abuis, vergissing ; abuus
 accordeon ; môonieka
 accordeon ; trèkmoonieka, trèkörgel, böökörgel, trèkzak
 accordeonist ; môoniekaspeuler
 acht ; aacht
 Acht Zaligheden ; Aacht Zaalegheede
 achter ; aachter
 achter ; nao, nò
 achter het net vissen ; ötschèùve, èùtschèùve
 achteraan ; aachteraon
 achteraf ; aachteraaf
 achterdeur, achterom ; aachterdeur
